sebis_total_pre,sebis_total_post,delta_sebis_total,sebis_device_pre,sebis_device_post,delta_sebis_device,sebis_password_pre,sebis_password_post,delta_sebis_password,sebis_updates_pre,sebis_updates_post,delta_sebis_updates,sebis_proactive_pre,sebis_proactive_post,delta_sebis_proactive,ux_usefulness,ux_ease,ux_relevance,ux_trust,ux_overall
3.625,4.75,1.125,3.75,4.75,1.0,4.0,4.75,0.75,3.25,4.75,1.5,3.5,4.75,1.25,4.0,4.333,4.0,4.667,4.25
3.5,4.375,0.875,3.5,4.75,1.25,3.0,4.25,1.25,3.75,4.75,1.0,3.75,3.75,0.0,4.333,4.667,5.0,4.667,4.667
3.0,4.0,1.0,2.75,4.25,1.5,3.25,3.75,0.5,3.5,4.0,0.5,2.5,4.0,1.5,3.333,3.0,3.333,3.0,3.167
3.375,4.375,1.0,3.75,4.5,0.75,3.25,4.25,1.0,3.0,4.5,1.5,3.5,4.25,0.75,3.667,3.333,3.333,3.0,3.333
3.125,4.188,1.062,3.0,4.25,1.25,2.25,4.5,2.25,3.75,4.5,0.75,3.5,3.5,0.0,4.333,4.0,4.333,4.667,4.333
4.0,4.5,0.5,3.75,4.25,0.5,4.25,4.5,0.25,4.0,4.5,0.5,4.0,4.75,0.75,4.667,5.0,5.0,4.0,4.667
3.375,4.562,1.188,3.75,4.75,1.0,3.75,4.75,1.0,3.25,4.5,1.25,2.75,4.25,1.5,4.667,5.0,4.667,4.667,4.75
2.688,3.938,1.25,2.0,3.75,1.75,2.25,4.0,1.75,4.25,3.75,-0.5,2.25,4.25,2.0,3.333,3.333,5.0,3.333,3.75
4.125,4.438,0.312,4.0,4.5,0.5,4.5,4.25,-0.25,4.0,4.5,0.5,4.0,4.5,0.5,5.0,4.0,5.0,4.667,4.667
3.562,4.188,0.625,4.5,4.5,0.0,1.5,4.0,2.5,3.5,4.0,0.5,4.75,4.25,-0.5,4.667,4.0,4.667,4.667,4.5
4.0,4.688,0.688,4.75,4.25,-0.5,4.5,5.0,0.5,3.0,5.0,2.0,3.75,4.5,0.75,4.0,4.0,3.667,4.0,3.917
3.938,3.125,-0.812,4.75,3.25,-1.5,4.0,3.0,-1.0,3.0,3.0,0.0,4.0,3.25,-0.75,4.333,3.0,3.0,3.0,3.333
2.875,4.75,1.875,3.5,4.75,1.25,2.0,4.25,2.25,3.0,5.0,2.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0
2.812,4.5,1.688,3.25,4.75,1.5,2.0,4.25,2.25,3.75,4.5,0.75,2.25,4.5,2.25,4.667,4.667,4.667,4.0,4.5
3.0,4.0,1.0,3.25,4.25,1.0,2.25,4.25,2.0,2.0,4.0,2.0,4.5,3.5,-1.0,5.0,4.667,5.0,5.0,4.917
2.625,2.625,0.0,2.75,2.75,0.0,2.0,2.5,0.5,3.5,2.5,-1.0,2.25,2.75,0.5,5.0,4.333,4.0,4.333,4.417
4.312,3.938,-0.375,4.75,4.25,-0.5,4.75,3.75,-1.0,4.75,4.0,-0.75,3.0,3.75,0.75,4.667,5.0,5.0,3.667,4.583
3.312,3.5,0.188,4.75,3.75,-1.0,2.75,3.25,0.5,2.25,3.5,1.25,3.5,3.5,0.0,3.0,3.333,3.333,4.0,3.417
4.0,4.812,0.812,2.75,4.5,1.75,4.5,5.0,0.5,4.5,4.75,0.25,4.25,5.0,0.75,5.0,4.667,5.0,4.667,4.833
3.75,4.125,0.375,3.25,4.25,1.0,4.5,3.75,-0.75,4.5,4.0,-0.5,2.75,4.5,1.75,4.667,3.667,5.0,4.667,4.5
3.562,4.688,1.125,3.75,4.75,1.0,3.5,4.5,1.0,3.5,4.75,1.25,3.5,4.75,1.25,4.667,5.0,4.667,4.667,4.75
4.25,3.75,-0.5,4.0,3.5,-0.5,4.0,4.0,0.0,4.75,3.5,-1.25,4.25,4.0,-0.25,5.0,4.667,5.0,4.667,4.833
4.188,3.938,-0.25,4.0,3.75,-0.25,4.25,4.0,-0.25,4.5,3.75,-0.75,4.0,4.25,0.25,3.0,2.333,3.0,2.667,2.75
4.375,3.5,-0.875,4.5,3.75,-0.75,4.25,3.75,-0.5,5.0,3.5,-1.5,3.75,3.0,-0.75,3.333,3.333,2.333,2.667,2.917
3.062,4.375,1.312,4.0,4.5,0.5,1.75,4.5,2.75,4.0,4.25,0.25,2.5,4.25,1.75,4.333,5.0,4.667,4.333,4.583
4.25,3.812,-0.438,3.75,3.75,0.0,4.25,3.5,-0.75,4.75,3.75,-1.0,4.25,4.25,0.0,5.0,4.667,4.667,4.667,4.75
3.625,4.5,0.875,3.25,4.5,1.25,3.0,4.25,1.25,3.5,4.75,1.25,4.75,4.5,-0.25,3.667,4.0,3.667,3.667,3.75
3.25,4.75,1.5,3.75,4.5,0.75,2.75,4.75,2.0,3.25,4.75,1.5,3.25,5.0,1.75,4.0,4.333,4.0,4.333,4.167
1.75,3.938,2.188,2.25,3.5,1.25,1.25,4.0,2.75,1.5,3.75,2.25,2.0,4.5,2.5,5.0,4.0,4.667,4.333,4.5
4.375,4.625,0.25,4.75,4.75,0.0,3.5,4.25,0.75,4.5,4.75,0.25,4.75,4.75,0.0,4.667,4.667,4.667,4.333,4.583
3.938,4.75,0.812,4.75,4.5,-0.25,1.75,5.0,3.25,4.5,4.75,0.25,4.75,4.75,0.0,5.0,3.333,4.667,3.333,4.083
2.938,3.375,0.438,2.75,3.25,0.5,4.5,2.75,-1.75,2.25,3.75,1.5,2.25,3.75,1.5,4.333,3.0,4.0,4.333,3.917
4.312,4.688,0.375,4.5,4.5,0.0,5.0,5.0,0.0,3.25,4.75,1.5,4.5,4.5,0.0,4.333,4.0,3.333,4.333,4.0
4.0,4.625,0.625,4.25,4.5,0.25,4.0,4.75,0.75,3.75,4.75,1.0,4.0,4.5,0.5,4.667,5.0,4.667,5.0,4.833
3.5,4.562,1.062,4.0,4.5,0.5,3.0,4.5,1.5,3.75,4.75,1.0,3.25,4.5,1.25,5.0,4.667,4.667,5.0,4.833
4.125,3.75,-0.375,4.5,3.75,-0.75,3.0,3.5,0.5,4.25,3.75,-0.5,4.75,4.0,-0.75,3.333,3.0,3.333,3.333,3.25
4.0,3.875,-0.125,4.5,3.75,-0.75,4.75,3.75,-1.0,3.0,4.0,1.0,3.75,4.0,0.25,4.333,4.667,4.333,4.667,4.5
2.5,3.875,1.375,3.0,4.0,1.0,1.5,4.0,2.5,2.25,4.0,1.75,3.25,3.5,0.25,3.667,3.333,3.333,3.333,3.417
3.688,4.188,0.5,3.75,4.75,1.0,1.75,3.75,2.0,4.75,4.0,-0.75,4.5,4.25,-0.25,4.667,4.667,4.667,4.667,4.667
3.188,3.75,0.562,4.5,3.5,-1.0,2.25,3.5,1.25,2.0,4.0,2.0,4.0,4.0,0.0,4.667,5.0,3.667,5.0,4.583
3.75,3.188,-0.562,4.25,3.25,-1.0,3.0,3.25,0.25,3.5,3.25,-0.25,4.25,3.0,-1.25,4.0,4.667,4.0,4.333,4.25
2.875,3.25,0.375,4.0,4.25,0.25,2.25,3.25,1.0,2.25,2.5,0.25,3.0,3.0,0.0,4.667,4.667,4.333,4.667,4.583
2.938,3.0,0.062,3.75,3.75,0.0,3.5,3.75,0.25,2.25,2.25,0.0,2.25,2.25,0.0,5.0,5.0,4.0,3.0,4.25
3.812,3.812,0.0,5.0,5.0,0.0,3.25,3.25,0.0,3.75,3.75,0.0,3.25,3.25,0.0,3.0,3.0,4.0,3.0,3.25
4.312,4.062,-0.25,4.5,4.25,-0.25,4.0,3.75,-0.25,4.0,3.75,-0.25,4.75,4.5,-0.25,4.333,3.333,3.0,3.667,3.583
3.75,3.75,0.0,3.25,3.25,0.0,3.5,3.5,0.0,3.75,3.75,0.0,4.5,4.5,0.0,3.0,3.667,3.333,3.333,3.333
3.062,3.438,0.375,4.5,4.75,0.25,2.5,3.0,0.5,2.25,2.75,0.5,3.0,3.25,0.25,4.667,4.333,4.667,3.0,4.167
4.688,4.5,-0.188,4.75,4.5,-0.25,4.5,4.25,-0.25,4.75,4.75,0.0,4.75,4.5,-0.25,2.667,3.0,2.0,2.667,2.583
3.875,4.188,0.312,3.25,4.0,0.75,4.0,4.25,0.25,3.5,3.75,0.25,4.75,4.75,0.0,4.333,5.0,4.667,4.333,4.583
4.562,4.75,0.188,4.75,4.75,0.0,4.0,4.5,0.5,4.75,4.75,0.0,4.75,5.0,0.25,4.333,4.333,4.0,4.333,4.25
4.562,4.375,-0.188,4.5,4.5,0.0,4.5,4.5,0.0,5.0,4.75,-0.25,4.25,3.75,-0.5,2.333,3.0,2.333,2.667,2.583
4.25,4.25,0.0,4.0,4.0,0.0,4.75,4.75,0.0,4.0,4.0,0.0,4.25,4.25,0.0,3.333,3.333,2.333,3.333,3.083
3.062,3.438,0.375,2.75,3.25,0.5,4.25,4.25,0.0,2.5,3.0,0.5,2.75,3.25,0.5,4.0,3.667,3.667,3.333,3.667
3.5,3.5,0.0,3.25,3.25,0.0,3.0,3.0,0.0,4.75,4.75,0.0,3.0,3.0,0.0,3.0,3.333,3.0,3.0,3.083
3.5,3.875,0.375,3.75,4.0,0.25,1.5,3.0,1.5,5.0,4.75,-0.25,3.75,3.75,0.0,5.0,4.333,4.333,4.667,4.583
3.812,4.0,0.188,4.75,4.75,0.0,4.5,4.5,0.0,2.75,3.5,0.75,3.25,3.25,0.0,4.667,4.667,4.0,4.0,4.333
2.688,2.625,-0.062,5.0,4.75,-0.25,1.5,1.5,0.0,2.0,2.0,0.0,2.25,2.25,0.0,3.333,3.333,2.667,3.0,3.083
3.875,4.062,0.188,3.5,3.75,0.25,4.25,4.5,0.25,4.0,4.25,0.25,3.75,3.75,0.0,4.333,4.667,5.0,4.667,4.667
3.25,3.438,0.188,3.0,3.5,0.5,2.5,2.5,0.0,4.5,4.75,0.25,3.0,3.0,0.0,5.0,4.667,5.0,5.0,4.917
3.0,3.0,0.0,3.25,3.25,0.0,2.25,2.25,0.0,2.75,2.75,0.0,3.75,3.75,0.0,3.0,3.0,3.0,3.0,3.0
3.75,4.188,0.438,5.0,5.0,0.0,2.0,3.5,1.5,4.25,4.25,0.0,3.75,4.0,0.25,4.0,4.667,5.0,4.667,4.583
4.062,4.438,0.375,4.0,4.25,0.25,4.25,4.5,0.25,4.25,4.5,0.25,3.75,4.5,0.75,4.667,4.667,4.667,4.333,4.583
3.062,4.0,0.938,4.75,4.75,0.0,1.25,3.75,2.5,2.25,3.5,1.25,4.0,4.0,0.0,4.667,4.667,4.667,4.333,4.583
4.312,4.312,0.0,4.75,4.75,0.0,4.75,4.75,0.0,4.5,4.5,0.0,3.25,3.25,0.0,3.0,3.667,3.333,3.667,3.417
3.688,3.875,0.188,3.0,3.75,0.75,4.0,4.0,0.0,3.25,3.5,0.25,4.5,4.25,-0.25,4.333,4.667,4.333,4.333,4.417
4.312,4.375,0.062,3.0,3.5,0.5,4.25,4.5,0.25,5.0,5.0,0.0,5.0,4.5,-0.5,4.667,4.333,4.0,3.0,4.0
3.312,3.312,0.0,3.75,3.75,0.0,2.25,2.25,0.0,2.25,2.25,0.0,5.0,5.0,0.0,3.0,3.667,3.0,3.333,3.25
3.125,3.188,0.062,2.75,2.75,0.0,3.5,3.5,0.0,3.25,3.5,0.25,3.0,3.0,0.0,4.667,4.333,3.333,3.333,3.917
4.688,4.875,0.188,4.75,4.75,0.0,4.5,5.0,0.5,4.75,5.0,0.25,4.75,4.75,0.0,4.667,4.667,5.0,4.667,4.75
3.75,3.938,0.188,3.0,3.25,0.25,4.5,4.75,0.25,4.25,4.25,0.0,3.25,3.5,0.25,5.0,4.667,4.667,4.667,4.75
3.375,3.688,0.312,3.25,3.5,0.25,2.75,3.75,1.0,4.5,4.5,0.0,3.0,3.0,0.0,5.0,5.0,4.0,5.0,4.75
4.188,4.375,0.188,3.0,3.5,0.5,4.0,4.5,0.5,4.75,4.5,-0.25,5.0,5.0,0.0,4.667,5.0,5.0,3.667,4.583
3.938,4.125,0.188,5.0,4.25,-0.75,3.25,3.75,0.5,4.0,4.25,0.25,3.5,4.25,0.75,3.667,4.0,3.667,3.667,3.75
4.0,2.75,-1.25,4.0,3.25,-0.75,2.75,3.0,0.25,4.25,2.0,-2.25,5.0,2.75,-2.25,3.0,4.0,2.667,3.333,3.25
4.438,4.562,0.125,3.75,4.0,0.25,4.75,5.0,0.25,4.5,4.5,0.0,4.75,4.75,0.0,3.333,3.0,3.0,3.333,3.167
3.375,4.562,1.188,2.75,4.25,1.5,4.25,4.25,0.0,3.5,5.0,1.5,3.0,4.75,1.75,4.667,4.333,5.0,4.667,4.667
3.188,4.562,1.375,2.5,5.0,2.5,2.0,5.0,3.0,3.5,4.25,0.75,4.75,4.0,-0.75,3.0,3.0,3.0,3.0,3.0
3.438,3.812,0.375,3.75,3.25,-0.5,2.5,3.75,1.25,3.75,3.75,0.0,3.75,4.5,0.75,5.0,4.333,5.0,5.0,4.833
2.625,4.5,1.875,3.0,4.5,1.5,1.25,4.0,2.75,4.25,5.0,0.75,2.0,4.5,2.5,3.333,3.667,3.0,3.0,3.25
3.688,4.812,1.125,3.75,4.75,1.0,4.0,4.5,0.5,4.0,5.0,1.0,3.0,5.0,2.0,3.333,3.667,3.667,3.0,3.417
4.0,2.438,-1.562,4.25,2.25,-2.0,4.0,2.75,-1.25,3.75,2.25,-1.5,4.0,2.5,-1.5,2.667,3.0,2.333,3.0,2.75
4.562,2.562,-2.0,5.0,2.75,-2.25,4.0,3.25,-0.75,4.5,2.0,-2.5,4.75,2.25,-2.5,2.333,3.333,2.333,2.667,2.667
3.312,4.0,0.688,3.75,3.5,-0.25,3.25,4.0,0.75,2.5,4.5,2.0,3.75,4.0,0.25,5.0,5.0,5.0,5.0,5.0
4.062,3.938,-0.125,4.75,4.75,0.0,4.5,4.25,-0.25,3.5,3.25,-0.25,3.5,3.5,0.0,4.667,4.333,4.0,4.0,4.25
4.75,4.75,0.0,4.75,5.0,0.25,4.75,4.75,0.0,4.75,4.75,0.0,4.75,4.5,-0.25,3.0,5.0,4.0,4.333,4.083
3.688,3.562,-0.125,4.5,4.0,-0.5,3.75,3.25,-0.5,4.25,3.75,-0.5,2.25,3.25,1.0,4.667,4.667,4.667,4.667,4.667
4.188,2.688,-1.5,3.25,2.5,-0.75,4.0,3.0,-1.0,5.0,3.0,-2.0,4.5,2.25,-2.25,3.333,2.333,2.333,3.0,2.75
3.875,4.438,0.562,2.75,4.0,1.25,4.75,4.75,0.0,4.75,4.25,-0.5,3.25,4.75,1.5,3.0,3.667,3.333,4.0,3.5
4.5,4.5,0.0,4.5,4.5,0.0,3.75,3.75,0.0,4.75,4.75,0.0,5.0,5.0,0.0,3.0,3.667,3.667,3.667,3.5
4.25,4.25,0.0,4.75,4.75,0.0,3.75,3.75,0.0,4.0,4.0,0.0,4.5,4.5,0.0,4.333,3.667,3.0,3.333,3.583
3.188,3.188,0.0,2.75,2.75,0.0,1.5,1.5,0.0,4.25,4.25,0.0,4.25,4.25,0.0,3.0,3.333,3.667,4.333,3.583
4.188,4.188,0.0,4.0,4.0,0.0,2.75,2.75,0.0,5.0,5.0,0.0,5.0,5.0,0.0,3.333,3.333,3.0,3.0,3.167
4.5,4.5,0.0,4.5,4.5,0.0,5.0,5.0,0.0,4.5,4.5,0.0,4.0,4.0,0.0,2.667,2.667,2.667,2.0,2.5
4.438,4.438,0.0,4.75,4.75,0.0,4.0,4.0,0.0,4.25,4.25,0.0,4.75,4.75,0.0,4.333,3.667,3.0,4.0,3.75
2.438,2.438,0.0,3.25,3.25,0.0,2.0,2.0,0.0,2.25,2.25,0.0,2.25,2.25,0.0,3.0,3.333,4.333,4.0,3.667
3.375,3.438,0.062,2.75,3.0,0.25,3.75,3.75,0.0,2.75,2.75,0.0,4.25,4.25,0.0,4.0,3.333,3.667,3.0,3.5
4.188,4.125,-0.062,5.0,4.75,-0.25,4.25,4.25,0.0,4.25,4.25,0.0,3.25,3.25,0.0,2.333,2.667,2.667,3.0,2.667
3.0,2.875,-0.125,4.25,3.75,-0.5,1.75,1.75,0.0,2.25,2.25,0.0,3.75,3.75,0.0,3.333,4.0,3.333,4.0,3.667
4.0,3.812,-0.188,4.75,4.0,-0.75,3.75,3.75,0.0,3.75,3.75,0.0,3.75,3.75,0.0,3.333,3.0,3.333,3.333,3.25
4.062,4.0,-0.062,4.5,4.75,0.25,4.5,4.5,0.0,4.0,3.5,-0.5,3.25,3.25,0.0,3.333,3.667,2.667,3.667,3.333
3.75,3.875,0.125,4.25,4.0,-0.25,3.75,4.0,0.25,2.25,2.75,0.5,4.75,4.75,0.0,2.333,2.667,2.667,2.667,2.583
3.0,3.5,0.5,3.0,3.25,0.25,2.5,3.25,0.75,2.25,3.25,1.0,4.25,4.25,0.0,3.0,3.333,3.333,3.0,3.167
3.5,3.438,-0.062,5.0,4.5,-0.5,3.5,3.5,0.0,1.5,2.0,0.5,4.0,3.75,-0.25,3.0,3.0,3.0,3.0,3.0
3.312,3.5,0.188,3.75,3.75,0.0,2.75,3.5,0.75,3.25,3.25,0.0,3.5,3.5,0.0,3.0,3.0,3.0,2.667,2.917
